state,state_name,county,NAME,population_size,percent_65plus,count_65plus,CODE
53,Wyoming,3,"Asotin County, Washington",22040,20.37205082,4490,WY
55,Wyoming,47,"Green Lake County, Wisconsin",18966,20.368027,3863,WY
16,Iowa,9,"Benewah County, Idaho",9088,20.36751761,1851,IA
53,Wyoming,45,"Mason County, Washington",60791,20.36485664,12380,WY
48,Washington,213,"Henderson County, Texas",79016,20.36296446,16090,WA
35,North Dakota,29,"Luna County, New Mexico",24789,20.34773488,5044,ND
37,Oklahoma,187,"Washington County, North Carolina",12668,20.34259552,2577,OK
16,Iowa,85,"Valley County, Idaho",9720,20.33950617,1977,IA
29,Nevada,129,"Mercer County, Missouri",3718,20.33351264,756,NV
48,Washington,225,"Houston County, Texas",22949,20.32768312,4665,WA
29,Nevada,103,"Knox County, Missouri",4035,20.32218092,820,NV
53,Wyoming,39,"Klickitat County, Washington",20820,20.32180596,4231,WY
46,Vermont,39,"Deuel County, South Dakota",4341,20.3178991,882,VT
35,North Dakota,11,"De Baca County, New Mexico",2020,20.2970297,410,ND
51,Wyoming,113,"Madison County, Virginia",13147,20.2936031,2668,WY
48,Washington,175,"Goliad County, Texas",7410,20.28340081,1503,WA
20,Maine,185,"Stafford County, Kansas",4320,20.27777778,876,ME
48,Washington,457,"Tyler County, Texas",21462,20.25906253,4348,WA
1,Alabama,23,"Choctaw County, Alabama",13395,20.25382605,2713,AL
18,Kentucky,13,"Brown County, Indiana",15011,20.24515355,3039,KY
28,Nebraska,15,"Carroll County, Mississippi",10338,20.23602244,2092,NE
28,Nebraska,5,"Amite County, Mississippi",12840,20.23364486,2598,NE
16,Iowa,17,"Bonner County, Idaho",41066,20.23328301,8309,IA
49,West Virginia,9,"Daggett County, Utah",776,20.23195876,157,WV
31,New Jersey,67,"Gage County, Nebraska",21818,20.23100193,4414,NJ
54,Wyoming,101,"Webster County, West Virginia",8927,20.23076061,1806,WY
51,Wyoming,36,"Charles City County, Virginia",7118,20.2304018,1440,WY
36,Ohio,31,"Essex County, New York",38912,20.22255345,7869,OH
5,California,147,"Woodruff County, Arkansas",6983,20.20621509,1411,CA
31,New Jersey,23,"Butler County, Nebraska",8256,20.20348837,1668,NJ
48,Washington,89,"Colorado County, Texas",20757,20.20041432,4193,WA
17,Kansas,177,"Stephenson County, Illinois",46625,20.19517426,9416,KS
25,Mississippi,3,"Berkshire County, Massachusetts",129288,20.17820679,26088,MS
31,New Jersey,143,"Polk County, Nebraska",5271,20.16695124,1063,NJ
8,Delaware,61,"Kiowa County, Colorado",1463,20.16404648,295,DE
42,South Dakota,123,"Warren County, Pennsylvania",40962,20.16014843,8258,SD
42,South Dakota,47,"Elk County, Pennsylvania",31370,20.14982467,6321,SD
20,Maine,7,"Barber County, Kansas",4770,20.14675052,961,ME
51,Wyoming,155,"Pulaski County, Virginia",34528,20.12569509,6949,WY
27,Montana,117,"Pipestone County, Minnesota",9354,20.11973487,1882,MT
38,Oregon,11,"Bowman County, North Dakota",3221,20.11797578,648,OR
13,Idaho,191,"McIntosh County, Georgia",14007,20.11137288,2817,ID
20,Maine,131,"Nemaha County, Kansas",10159,20.11024707,2043,ME
36,Ohio,21,"Columbia County, New York",62195,20.10451001,12504,OH
55,Wyoming,91,"Pepin County, Wisconsin",7372,20.10309278,1482,WY
42,South Dakota,129,"Westmoreland County, Pennsylvania",361251,20.10292013,72622,SD
